z,virial_over_E,sharp_lower_bound,local_quadratic
4.8000000000000001e-02,2.0480000000000000e+00,3.3770423161800406e-01,2.5813333333333344e-01
5.0000000000000003e-02,2.0499999999999998e+00,3.3258363582552630e-01,2.5520833333333343e-01
5.2000000000000005e-02,2.0520000000000000e+00,3.2754727190947308e-01,2.5230000000000008e-01
5.3999999999999999e-02,2.0539999999999998e+00,3.2259206945924213e-01,2.4940833333333340e-01
5.6000000000000001e-02,2.0560000000000000e+00,3.1771518636043178e-01,2.4653333333333341e-01
5.8000000000000003e-02,2.0579999999999998e+00,3.1291398431675349e-01,2.4367500000000003e-01
5.9999999999999998e-02,2.0600000000000001e+00,3.0818600775187610e-01,2.4083333333333340e-01
6.2000000000000000e-02,2.0619999999999998e+00,3.0352896552719422e-01,2.3800833333333338e-01
6.4000000000000001e-02,2.0640000000000001e+00,2.9894071502082131e-01,2.3520000000000005e-01
6.6000000000000003e-02,2.0659999999999998e+00,2.9441924819847554e-01,2.3240833333333338e-01
6.8000000000000005e-02,2.0680000000000001e+00,2.8996267937415499e-01,2.2963333333333338e-01
7.0000000000000007e-02,2.0699999999999998e+00,2.8556923441187076e-01,2.2687500000000005e-01
7.2000000000000008e-02,2.0720000000000001e+00,2.8123724116239157e-01,2.2413333333333338e-01
7.3999999999999996e-02,2.0739999999999998e+00,2.7696512096332848e-01,2.2140833333333337e-01
7.5999999999999998e-02,2.0760000000000001e+00,2.7275138105875152e-01,2.1870000000000001e-01
7.8000000000000000e-02,2.0779999999999998e+00,2.6859460781725819e-01,2.1600833333333339e-01
8.0000000000000002e-02,2.0800000000000001e+00,2.6449346064605650e-01,2.1333333333333335e-01
8.2000000000000003e-02,2.0819999999999999e+00,2.6044666651400211e-01,2.1067500000000003e-01
8.4000000000000005e-02,2.0840000000000001e+00,2.5645301500928119e-01,2.0803333333333335e-01
8.6000000000000007e-02,2.0859999999999999e+00,2.5251135386805057e-01,2.0540833333333336e-01
8.7999999999999995e-02,2.0880000000000001e+00,2.4862058491924452e-01,2.0280000000000006e-01
8.9999999999999997e-02,2.0899999999999999e+00,2.4477966039822752e-01,2.0020833333333340e-01
9.1999999999999998e-02,2.0920000000000001e+00,2.4098757958829084e-01,1.9763333333333341e-01
9.4000000000000000e-02,2.0939999999999999e+00,2.3724338575434073e-01,1.9507500000000005e-01
9.6000000000000002e-02,2.0960000000000001e+00,2.3354616333767739e-01,1.9253333333333339e-01
9.8000000000000004e-02,2.0979999999999999e+00,2.2989503538465633e-01,1.9000833333333339e-01
1.0000000000000001e-01,2.1000000000000001e+00,2.2628916118535888e-01,1.8750000000000006e-01
1.0200000000000001e-01,2.1019999999999999e+00,2.2272773410125743e-01,1.8500833333333339e-01
1.0400000000000001e-01,2.1040000000000001e+00,2.1920997956334326e-01,1.8253333333333341e-01
1.0600000000000000e-01,2.1059999999999999e+00,2.1573515322431985e-01,1.8007500000000007e-01
1.0800000000000000e-01,2.1080000000000001e+00,2.1230253925031953e-01,1.7763333333333339e-01
1.1000000000000000e-01,2.1099999999999999e+00,2.0891144873922260e-01,1.7520833333333338e-01
1.1200000000000000e-01,2.1120000000000001e+00,2.0556121825406562e-01,1.7280000000000004e-01
1.1400000000000000e-01,2.1139999999999999e+00,2.0225120846125860e-01,1.7040833333333338e-01
1.1600000000000001e-01,2.1160000000000001e+00,1.9898080286441583e-01,1.6803333333333340e-01
1.1800000000000001e-01,2.1179999999999999e+00,1.9574940662555537e-01,1.6567500000000004e-01
1.2000000000000000e-01,2.1200000000000001e+00,1.9255644546626086e-01,1.6333333333333336e-01
1.2200000000000000e-01,2.1219999999999999e+00,1.8940136464213941e-01,1.6100833333333339e-01
1.2400000000000000e-01,2.1240000000000001e+00,1.8628362798456946e-01,1.5870000000000004e-01
1.2600000000000000e-01,2.1259999999999999e+00,1.8320271700430665e-01,1.5640833333333337e-01
1.2800000000000000e-01,2.1280000000000001e+00,1.8015813005203993e-01,1.5413333333333337e-01
1.3000000000000000e-01,2.1299999999999999e+00,1.7714938153144830e-01,1.5187500000000004e-01
